,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
52,A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81
53,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80
54,Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79
55,Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,2,4,78
56,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76
57,Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,76,236,0,14,76
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76
59,Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76
60,Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75
61,Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75
62,What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14,88,221,0,5,74
63,Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33,49,260,0,16,73
64,Monster,Kanye West,chicago rap,2011,125,69,63,-6,67,10,379,0,20,73
65,Marry You,Bruno Mars,pop,2011,145,83,62,-5,10,48,230,33,4,73
66,Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,55,-4,9,30,254,14,3,73
67,Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27,35,262,2,16,72
68,We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12,65,205,1,4,72
69,Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27,68,223,3,18,72
70,Good Life,OneRepublic,dance pop,2011,95,69,63,-8,13,65,253,8,5,72
71,Just Can’t Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11,26,219,19,18,71
72,On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7,57,285,11,5,69
73,What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8,58,263,23,7,69
74,Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,9,70,242,0,4,69
75,Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,68
76,Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,19,80,199,10,32,67
77,The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,11,36,321,0,4,67
78,E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37,76,230,2,18,66
79,Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,20,45,238,2,7,65
80,I Wanna Go,Britney Spears,dance pop,2011,130,55,70,-7,33,79,210,0,4,64
81,Blow,Kesha,dance pop,2011,120,73,75,-4,7,81,220,0,4,64
82,You And I,Lady Gaga,dance pop,2011,127,70,52,-5,9,52,307,9,5,64
83,Judas,Lady Gaga,dance pop,2011,131,93,66,-4,27,53,249,0,7,63
84,Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,65,-4,12,32,232,3,5,63
85,Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,13,66,197,0,3,63
86,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,61
87,Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,46,38,265,0,6,61
88,1+1,Beyoncé,dance pop,2011,63,38,30,-7,7,26,274,38,3,60
89,Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24,39,229,1,4,59
90,I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,8,70,200,2,14,59
91,Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37,89,223,13,6,58
92,Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29,73,262,2,4,58
93,S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5,89,257,5,5,54
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,18,57,220,6,7,52
95,Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,12,9,247,73,3,50
96,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,26,58,329,7,39,49
97,Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,11,19,255,91,3,46
98,Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,40,59,201,6,23,38
99,Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12,56,208,0,12,38
100,Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,32,69,201,2,7,31
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22,37,279,39,38,28
102,Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,67,72,231,0,4,27
103,Firework,Katy Perry,dance pop,2011,124,83,64,-5,11,65,228,14,5,25
104,Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19,53,227,56,33,7
