,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
235,Young Girls,Bruno Mars,pop,2014,126,75,56,-5,21,50,229,46,3,67
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,16,72,193,8,25,67
237,Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,8,74,225,17,6,66
238,This Is How We Do,Katy Perry,dance pop,2014,96,64,69,-6,15,80,204,2,5,66
239,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,-4,27,98,232,0,4,65
240,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76,-6,9,52,241,1,18,65
241,#SELFIE,The Chainsmokers,electropop,2014,128,92,79,-3,8,66,184,1,25,65
242,Partition,Beyoncé,dance pop,2014,186,44,41,-12,31,17,319,3,29,65
243,Birthday,Katy Perry,dance pop,2014,126,67,72,-5,11,84,215,9,7,65
244,G.U.Y.,Lady Gaga,dance pop,2014,110,92,62,-3,12,57,233,1,4,65
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,-3,9,46,217,11,4,64
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50,-6,27,25,226,3,4,63
247,Wings,Birdy,neo mellow,2014,83,71,47,-5,16,22,252,8,3,62
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,-4,14,82,207,12,7,62
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35,-4,12,4,191,6,5,61
250,Say Something,A Great Big World,neo mellow,2014,138,15,45,-9,9,9,229,87,3,61
251,A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,60
252,Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93,-6,10,90,202,27,8,59
253,Chandelier,Sia,australian dance,2014,174,78,29,-3,7,62,216,2,7,56
254,XO,Beyoncé,dance pop,2014,170,79,47,-9,31,21,216,17,26,56
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60,-4,10,55,222,0,7,56
256,Not About Angels,Birdy,neo mellow,2014,116,14,41,-10,9,23,190,97,4,56
257,Drunk in Love,Beyoncé,dance pop,2014,140,62,59,-7,18,40,323,1,5,52
258,Anaconda,Nicki Minaj,dance pop,2014,130,60,96,-6,21,65,260,7,18,50
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,81,68,-4,34,64,169,7,6,50
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80,-5,35,61,198,18,4,50
261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,-9,9,56,160,84,3,49
262,Words as Weapons,Birdy,neo mellow,2014,120,35,53,-9,14,19,239,28,3,44
263,You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63,-7,38,56,224,28,7,38
264,Sheezus,Lily Allen,dance pop,2014,130,50,78,-7,11,39,235,15,4,37
265,Cannonball,Lea Michele,hollywood,2014,92,82,56,-3,19,57,215,2,5,37
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64,-9,25,53,230,10,11,30
267,I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74,-6,12,59,207,45,42,28
268,Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,-6,38,46,266,27,6,0
