,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
211,All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86
212,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85
213,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79
215,Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,4,4,79
216,Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,6,17,78
217,Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78
218,Hey Brother,Avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78
219,Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78
220,Treasure,Bruno Mars,pop,2014,116,69,87,-5,32,94,179,4,4,77
221,Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77
222,Problem,Ariana Grande,dance pop,2014,103,81,66,-5,16,63,194,2,15,75
223,Pompeii,Bastille,metropopolis,2014,127,72,68,-6,27,57,214,8,4,73
224,Team,Lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73
225,Love Me Again,John Newman,pop,2014,126,89,50,-5,10,21,240,0,4,73
226,Latch,Disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72
227,Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,11,20,279,11,3,72
228,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,71
229,Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,11,33,231,31,4,71
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71
231,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,31,76,178,3,23,68
233,Gorilla,Bruno Mars,pop,2014,140,54,72,-7,10,64,244,45,4,68
234,human,Christina Perri,dance pop,2014,144,49,44,-6,11,25,251,13,4,68
