,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
509,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
510,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85
511,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85
512,New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,0,7,84
513,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84
514,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,84
515,IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,4,9,84
516,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,83
517,Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83
518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83
519,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,83
520,Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,1,5,82
521,Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82
522,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,-4,8,74,175,3,5,82
523,Silence,Marshmello,brostep,2018,142,76,52,-3,17,29,181,26,9,82
524,Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,-7,26,89,204,2,23,81
525,Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9,28,217,42,3,80
526,These Days,Rudimental,dance pop,2018,92,81,65,-4,17,55,211,19,5,80
527,What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10,42,200,8,6,79
528,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,-5,2,93,217,2,10,78
529,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,30,59,-7,12,36,260,78,3,78
530,Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9,61,181,6,3,78
531,Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78
532,Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,73,74,-5,30,62,189,0,4,77
533,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,67,-3,12,63,204,3,7,76
534,My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76
535,Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5,46,219,3,8,76
536,Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12,45,193,11,5,76
537,Tequila,Dan + Shay,contemporary country,2018,86,59,47,-6,13,50,196,3,3,76
538,Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13,51,212,20,12,75
539,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,-7,13,32,191,56,12,75
540,Bad Liar,Selena Gomez,dance pop,2018,121,41,97,-6,8,73,215,19,7,75
541,Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10,32,215,4,6,74
542,Say Something,Justin Timberlake,dance pop,2018,97,63,71,-7,8,37,279,10,8,74
543,Chun-Li,Nicki Minaj,dance pop,2018,129,73,69,-5,11,48,192,28,37,73
544,Sign of the Times,Harry Styles,dance pop,2018,120,57,52,-5,11,21,341,3,3,72
545,Familiar,Liam Payne,dance pop,2018,93,81,64,-5,8,91,197,2,33,72
546,Let Me,ZAYN,dance pop,2018,168,57,46,-6,10,19,185,24,5,72
547,Supernova,Ansel Elgort,dance pop,2018,140,62,77,-5,21,68,191,6,10,72
548,Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13,74,164,4,8,71
549,First Time,Kygo,edm,2018,90,59,63,-7,10,68,194,20,11,71
550,End Game,Taylor Swift,pop,2018,159,59,65,-6,11,15,245,1,6,70
551,Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,76,-6,23,47,210,2,8,68
552,Lemon,N.E.R.D,hip hop,2018,95,73,92,-7,12,20,220,0,9,68
553,For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,-5,42,18,243,2,3,67
554,Want To,Dua Lipa,dance pop,2018,92,69,57,-5,6,32,212,8,12,67
555,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63,-4,16,41,220,5,6,67
556,Wait,Maroon 5,pop,2018,126,60,66,-5,11,45,191,10,6,67
557,What About Us,P!nk,dance pop,2018,114,59,39,-6,9,19,272,3,6,66
558,Kissing Strangers,DNCE,dance pop,2018,120,74,77,-6,9,86,202,5,4,66
559,2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,53,-7,23,53,195,23,6,65
560,Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,44,48,-10,64,62,304,81,24,65
561,This Town,Niall Horan,dance pop,2018,112,41,68,-8,12,20,233,70,3,64
562,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,-4,10,42,221,2,5,64
563,MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,76,-4,7,90,169,3,5,64
564,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75,-5,11,45,186,25,9,64
565,Filthy,Justin Timberlake,dance pop,2018,97,58,75,-6,25,65,294,4,14,62
566,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,-4,12,25,227,16,9,57
567,Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10,42,213,2,3,57
568,Supplies,Justin Timberlake,dance pop,2018,120,55,79,-7,13,23,226,1,5,57
569,Boom Boom,RedOne,moroccan pop,2018,110,76,75,-8,20,58,248,0,5,53
570,...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,160,84,58,-5,10,50,190,13,22,52
571,Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45
572,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,-5,9,76,182,5,8,44
