,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,-5,45,67,218,49,22,59
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37,-9,20,21,180,6,12,59
498,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,76,69,-4,14,59,223,8,4,57
499,Rich Boy,Galantis,big room,2017,110,90,74,-2,8,65,184,7,5,55
500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,-9,36,27,264,58,6,54
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,-6,36,63,245,28,27,54
502,Influence,Tove Lo,dance pop,2017,105,59,77,-10,11,33,225,10,5,54
503,Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,-6,4,84,202,14,28,53
504,Messin' Around,Pitbull,dance pop,2017,158,81,57,-5,4,78,223,2,5,51
505,Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11,47,240,2,7,49
506,Free Me,Sia,australian dance,2017,87,46,27,-4,14,21,286,85,3,44
507,Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,76,-6,8,81,202,8,5,43
508,A L I E N S,Coldplay,permanent wave,2017,148,88,43,-5,21,25,282,0,4,41
