,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
269,Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,18,59,282,47,3,84
270,I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,8,49,239,53,4,84
271,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,84
272,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83
273,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82
274,Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81
275,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,81
276,Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,81
277,FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,13,35,188,88,5,80
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,13,28,253,25,5,79
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,-6,10,44,252,39,3,79
280,What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,8,79,206,59,10,79
281,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,76,207,2,7,78
282,Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,11,66,208,1,6,77
283,My House,Flo Rida,dance pop,2015,94,70,69,-5,13,74,192,2,5,77
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,-9,8,45,208,1,4,77
285,Night Changes,One Direction,boy band,2015,120,52,67,-8,12,37,227,86,4,77
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,39,34,213,4,7,77
287,Never Forget You,Zara Larsson,dance pop,2015,146,73,58,-6,27,28,213,0,5,77
288,Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,-4,8,24,236,1,3,76
289,Animals,Maroon 5,pop,2015,190,74,28,-6,59,33,231,0,9,76
290,Blame,Calvin Harris,dance pop,2015,128,86,41,-4,34,35,213,3,8,76
291,Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,12,59,225,6,9,75
292,Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,20,28,215,1,5,75
293,Don't,Ed Sheeran,pop,2015,95,61,81,-7,64,85,220,1,7,74
294,Elastic Heart,Sia,australian dance,2015,130,79,42,-5,15,50,257,1,5,73
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,19,55,228,16,4,73
296,Hello,Adele,british soul,2015,158,45,48,-6,9,29,295,34,3,73
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72
298,43776,Beyoncé,dance pop,2015,136,71,75,-5,13,56,214,1,13,72
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,14,62,227,5,4,72
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,33,53,193,24,15,72
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72
302,Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8,43,208,13,6,72
303,Sing,Ed Sheeran,pop,2015,120,67,82,-4,6,94,235,30,5,71
304,Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,44,45,222,1,8,70
305,Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,19,85,202,12,9,70
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,29,71,293,9,7,70
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,33,31,233,10,8,69
308,Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6,48,199,1,5,69
309,Up,Olly Murs,dance pop,2015,115,85,69,-5,10,64,224,2,3,69
310,Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,10,64,217,56,24,69
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48,8,213,1,8,69
312,Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,21,44,229,2,3,69
313,I Want You To Know,Zedd,complextro,2015,130,85,58,-3,14,37,240,1,6,68
314,Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,11,95,183,5,5,68
315,I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,18,8,200,5,10,68
316,Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,8,33,199,8,10,68
317,I Lived,OneRepublic,dance pop,2015,120,85,59,-5,27,34,235,7,4,67
318,Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,5,79,235,9,6,67
319,Easy Love,Sigala,dance pop,2015,124,94,68,-4,12,65,230,18,6,67
320,The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,10,21,245,8,6,67
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22,60,205,1,4,66
322,BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,5,74,171,1,11,66
323,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,66
324,Focus,Ariana Grande,dance pop,2015,100,88,67,-6,44,79,211,27,24,66
325,All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,11,96,189,5,5,65
326,On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,9,74,213,26,5,65
327,Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,28,85,198,21,4,65
328,Broken Arrows,Avicii,big room,2015,116,67,63,-7,10,29,233,5,5,65
329,Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,26,40,210,0,5,64
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,10,76,204,79,4,64
331,Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17,52,134,88,3,63
332,Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,19,48,242,14,4,62
333,American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,33,48,320,5,9,61
334,Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,38,73,199,27,9,61
335,Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,7,60,159,2,3,61
336,Alive,Sia,australian dance,2015,100,76,51,-4,11,44,264,25,5,61
337,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,16,64,219,2,6,60
338,Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,32,86,199,2,7,60
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,62,78,189,2,3,58
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6,28,230,37,8,56
341,Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56
342,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,9,4,292,33,5,55
343,Perfect,One Direction,boy band,2015,100,82,65,-5,12,40,230,6,8,55
344,Ghosttown,Madonna,dance pop,2015,79,55,54,-7,12,9,250,4,4,54
345,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,10,59,193,5,8,54
346,Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,6,27,309,20,5,52
347,Living For Love,Madonna,dance pop,2015,123,79,67,-5,25,39,219,4,9,52
