,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,6,58,213,20,11,72
163,Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,-8,8,67,354,8,6,72
164,Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,7,85,248,16,16,71
165,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,71
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,-4,10,88,258,3,8,70
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,34,54,230,4,16,70
168,Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,-6,10,23,272,23,4,70
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,37,25,252,25,4,70
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78,-7,5,66,236,6,29,69
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,14,16,215,26,4,69
172,The Way,Ariana Grande,dance pop,2013,82,88,65,-3,8,86,227,29,11,68
173,Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,16,36,326,10,22,68
174,#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,7,40,280,0,6,68
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,15,82,157,1,3,67
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,66,68,209,4,4,67
177,Daylight,Maroon 5,pop,2013,120,67,66,-5,26,37,225,0,3,66
178,Love Somebody,Maroon 5,pop,2013,120,78,68,-6,12,40,230,13,4,65
179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,-6,9,52,241,1,18,65
180,Move,Little Mix,dance pop,2013,121,74,85,-5,55,77,224,0,9,63
181,Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,10,43,202,1,6,62
182,Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,34,67,207,1,13,61
183,Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,34,58,263,14,10,61
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,43,65,277,14,5,60
185,Next To Me,Emeli Sandé,dance pop,2013,95,80,67,-5,11,35,197,9,4,60
186,Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,32,59,196,0,4,60
187,Clown,Emeli Sandé,dance pop,2013,130,23,45,-8,11,23,221,92,4,60
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,15,34,271,9,31,59
189,TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,43,49,424,1,24,58
190,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57
191,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57
192,We Own The Night,The Wanted,boy band,2013,104,94,55,-4,23,56,206,1,13,56
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,11,11,236,63,3,55
194,What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,4,28,203,0,4,54
195,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,64,33,353,4,16,54
196,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52
197,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,14,38,286,43,3,52
198,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,35,66,221,1,10,52
199,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52
200,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,13,50,229,4,4,46
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,11,73,257,2,5,45
204,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,36,61,259,4,4,45
205,Overdose,Ciara,dance pop,2013,107,70,77,-6,6,79,227,1,3,43
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,24,45,186,0,4,42
207,Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,16,58,230,10,7,41
208,Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,12,7,250,23,3,36
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,21,66,207,16,3,35
210,Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,12,45,274,13,6,28
