,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
140,Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21,69,230,0,5,88
141,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85
142,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,81
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13,44,243,35,5,81
144,Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,12,63,203,7,6,80
145,Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78
146,We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,12,44,213,11,5,78
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,86,248,4,4,77
149,Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77
150,Impossible,James Arthur,pop,2013,170,70,38,-5,11,30,209,14,9,77
151,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,84,264,0,4,76
152,Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24,50,211,7,10,76
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,12,75,193,1,9,75
154,Die Young,Kesha,dance pop,2013,128,70,71,-5,22,80,212,0,5,75
155,Clarity,Zedd,complextro,2013,128,78,51,-3,7,18,271,4,7,75
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,13,11,215,2,6,74
157,Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,12,51,184,13,8,74
158,Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,31,73,177,0,6,74
159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,7,29,228,0,10,73
160,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8,49,200,2,5,73
161,Kiss You,One Direction,boy band,2013,90,93,63,-3,32,91,183,2,6,73
